   5.0000000e+01	   2.7775344e-02	
   5.0000000e+01	   2.7465667e-02	
   5.0000000e+01	   2.7486621e-02	
   5.0000000e+00	   4.3345530e-02	
   7.5000000e+00	   6.2660151e-02	
   1.1500000e+01	   9.2244941e-02	
   1.7000000e+01	   1.3996866e-01	
   2.5500000e+01	   1.9060047e-01	
   3.8500000e+01	   2.9551343e-01	
   5.7500000e+01	   3.3135568e-01	
   8.6500000e+01	   4.9694461e-01	
   1.3000000e+02	   3.6122136e-01	
   1.9450000e+02	   5.3453845e-01	
   2.9200000e+02	   5.7539095e-01	
   4.3800000e+02	   5.1784724e-01	
   6.5700000e+02	   4.1098821e-01	
   9.8550000e+02	   2.7933694e-01	
   1.4780000e+03	   2.6320693e-01	
   2.2170000e+03	   1.8124988e-01	
   3.3255000e+03	   1.1804209e-01	
   4.9880000e+03	   8.1627728e-02	
   7.4820000e+03	   5.0665259e-02	
   5.0000000e+01	   2.7528124e-02	
   5.0000000e+01	   2.7339356e-02	
   0.0000000e+00	   0.0000000e+00	
